"Details","Record ID","Ticket Number","Building","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Last Modified Date"
"","74530","V0074530","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-28-2024 19:27:16"
"","74368","V0074368","","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminsuper@vivacitytech.com","09-28-2024 19:25:41"
"","74529","V0074529","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-28-2024 14:25:22"
"","74528","V0074528","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-28-2024 14:01:21"
"","74527","V0074527","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","09-26-2024 20:53:54"
"","74526","V0074526","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Part_Received","","demo_adminsuper@vivacitytech.com","09-26-2024 11:27:49"
"","74525","V0074525","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-26-2024 11:23:03"
"","74524","V0074524","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-26-2024 11:22:09"
"","74518","V0074518","Brookdale ES","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Dream","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 22:18:26"
"","74511","V0074511","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Part_Queue","","demo_adminsuper@vivacitytech.com","09-23-2024 22:16:59"
"","74517","V0074516","Brookdale ES","In-House","VIVATEST70Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash Deep Bhattacharyya","SName","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 22:09:08"
"","74510","V0074510","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 18:20:55"
"","74509","V0074509","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 17:46:05"
"","74506","V0074506","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-19-2024 18:56:12"
"","74505","V0074505","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-19-2024 18:55:23"
"","74502","V0074502","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:45:25"
"","74501","V0074501","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:45:01"
"","74498","V0074498","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:36:32"
"","74497","V0074497","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:36:09"
"","74495","V0074495","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:29:27"
"","74494","V0074494","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:29:05"
"","74490","V0074490","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:09:20"
