"Details","Record ID","Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Last Modified Date"
"","74707","V0074707","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-15-2024 21:18:17"
"","74704","V0074704","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-15-2024 21:04:05"
"","74703","V0074703","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-15-2024 21:00:01"
"","74526","V0074526","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminsuper@vivacitytech.com","10-15-2024 18:32:55"
"","74699","V0074699","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-15-2024 18:30:47"
"","74698","V0074698","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 21:25:25"
"","74695","V0074695","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 20:00:47"
"","74694","V0074694","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:58:06"
"","74693","V0074693","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:56:55"
"","74692","V0074692","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:56:06"
"","74691","V0074691","123 TestMalejawjqnejqe","0000-00-01","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Student","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:55:23"
"","74690","V0074690","Alma's Elementary School","Brookdale ES","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Student","Demo Student","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:53:46"
"","74689","V0074689","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:52:45"
"","74688","V0074688","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:43:35"
"","74687","V0074687","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-14-2024 19:42:26"
"","74682","V0074681","123 TestMalejawjqnejqe","Adams Elementary","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-08-2024 19:42:34"
