"Record Id","Ticket Number","Repair Type","Serial Number","Repair Device","Asset Tag","Repair Status","Student Technician Name","Student Name","Created By","Last Modified Date"
"83530","V0083530","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Demo Student","","demo_adminsuper@vivacitytech.com","10-16-2024 19:42:56"
"83529","V0083529","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Demo Student","","demo_adminsuper@vivacitytech.com","10-16-2024 19:41:37"
"83528","V0083528","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Demo Student","","demo_adminsuper@vivacitytech.com","10-16-2024 19:40:00"
"83527","V0083527","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Demo Student","","demo_adminsuper@vivacitytech.com","10-16-2024 19:36:16"
"82804","V0082804","Student","SerialTest123","Lenovo 14e Chromebook Gen2 - AMD/8GB/64GB - Touch","6767","Waiting_on_Repair_Approval","Jasmine","","demo_adminsuper@vivacitytech.com","10-11-2024 18:30:00"
"81951","V0081951","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Maleja","Demo Test","","10-08-2024 23:29:40"
"76883","V0076883","Student","VIVATEST70Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Waiting_on_Repair_Approval","Matthew Ellison","Admin Backup","demo_adminsuper@vivacitytech.com","09-17-2024 02:36:34"
"76668","V0076668","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Closed","Madhuri","Madhuri Ravilla","demo_adminsuper@vivacitytech.com","10-03-2024 01:00:01"
"76459","V0076459","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Hansel Poque","Vivienne Garcia","Maleja Duque","09-14-2024 00:38:34"
"76456","V0076456","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","mduque+madhuri@vivacitytech.com","Frida Kahlo","Maleja Duque","09-14-2024 00:35:44"
"76220","V0076220","Student","VIVATEST61Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Waiting_on_Repair_Approval","Valerie Rodriguez","","demo_adminsuper@vivacitytech.com","09-13-2024 02:14:22"
"75745","V0075745","Student","VIVATEST87Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Mason Troop","Valentina Davis","Edit Test","09-11-2024 19:15:22"
"75719","V0075719","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Test Student","Verity Jones","Maleja Duque","09-11-2024 03:14:33"
"75408","V0075408","Student","VIVATEST87Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Valerie Rodriguez","","","09-10-2024 00:24:50"
"74845","V0074845","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Madhuri","Admin Backup","demo_adminsuper@vivacitytech.com","09-06-2024 19:28:50"
"74598","V0074598","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","mduque+madhuri@vivacitytech.com","Violet Smith","","09-05-2024 20:17:49"
"73254","V0073254","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","John Doe","Sohan Saini","demo_adminvivacity@vivacitytech.com","08-28-2024 23:16:12"
"73253","V0073253","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","John Doe","Sohan Saini","demo_adminvivacity@vivacitytech.com","08-28-2024 23:09:26"
"73130","V0073130","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Matt Wise","","Bria Faithful","08-27-2024 23:53:22"
"71332","V0071332","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Hansel Poque","Vivienne Garcia","Maleja Duque","08-13-2024 23:42:03"
"71229","V0071229","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","John Doe","","demo_repairtech@vivacitytech.com","08-13-2024 00:28:44"
"71193","V0071193","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Jerry Pogue","Verity Jones","Maleja Duque","08-12-2024 19:09:36"
"70874","V0070874","Student","VIVATEST67Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Johnny Admin","Verity Jones","Maleja Duque","08-07-2024 02:56:43"
"70863","V0070863","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Hansel Poque","Verity Jones","demo_adminvivacity@vivacitytech.com","08-07-2024 01:05:30"
"70862","V0070862","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Johnny Admin","Verity Jones","Maleja Duque","08-07-2024 01:05:06"
"70861","V0070861","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Hansel Poque","Violet Smith","demo_adminvivacity@vivacitytech.com","08-07-2024 00:56:52"
"70860","V0070860","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Jerry Pogue","Verity Jones","demo_adminvivacity@vivacitytech.com","08-07-2024 00:55:48"
"70831","V0070831","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Robert Milliken","","demo_adminsuper@vivacitytech.com","08-06-2024 03:35:07"
"70798","V0070798","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Jerry Pogue","","demo_adminsuper@vivacitytech.com","08-03-2024 20:50:07"
"70773","V0070773","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Hansel Poque","","demo_adminvivacity@vivacitytech.com","08-02-2024 21:04:27"
"70748","V0070748","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Johnny Admin","","demo_adminvivacity@vivacitytech.com","08-01-2024 23:39:04"
"70747","V0070747","Student","VIVATEST46Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Abigail Thurber","","demo_adminvivacity@vivacitytech.com","08-01-2024 23:30:57"
"70746","V0070746","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Shyma Dutta","","demo_adminvivacity@vivacitytech.com","08-01-2024 23:30:02"
"70727","V0070727","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Shyma Dutta","","","08-01-2024 01:11:13"
"70633","V0070633","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Shyma Dutta","","demo_adminvivacity@vivacitytech.com","07-30-2024 03:30:22"
