"Ticket Number","Building","Repair Type","Serial Number","Repair Device","Asset Tag","Repair Status","Student Name","Created By"
"V0084630","Aspen Grove Middle School","Vivacity","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084626","Aspen Grove Middle School","Vivacity","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084625","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084624","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084620","Aspen Grove Middle School","Vivacity","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084617","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084616","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084615","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084614","Aspen Grove Middle School","Vivacity","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084613","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084612","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084611","Aspen Grove Middle School","Vivacity","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084610","Aspen Grove Middle School","Vivacity","P206P17Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084609","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084608","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084605","Aspen Grove Middle School","Vivacity","P206P17Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084604","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084603","Aspen Grove Middle School","Vivacity","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084602","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
