"Details","Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Created Date","Last Modified Date"
"","V0084647","Mauldin High School","Aspen Grove Middle School","In-House","Candelario","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","Amiya","Valentina Davis","","Pending_Repair_Box","Intake","","Corey Molloy","11-07-2024 03:28:16","11-07-2024 03:28:16"
"","V0084643","123 TestMalejawjqnejqe","Adams Elementary","In-House","VIVATEST64Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","24","Vivian Brown","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","11-07-2024 01:14:49","11-07-2024 01:15:53"
"","V0084642","123 TestMalejawjqnejqe","Adams Elementary","In-House","21212","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","12121","Valentina Davis","","Pending_Repair_Box","Intake","","demo_adminsuper@vivacitytech.com","11-07-2024 01:13:19","11-07-2024 01:13:19"
"","V0084639","Building One","Building One","In-House","1730801615105","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","Tyrique","Demo Test","","Intake","Part_Queue","","demo_adminsuper@vivacitytech.com","11-05-2024 18:43:59","11-07-2024 00:15:33"
"","V0084638","Building One","Building One","In-House","1730803516960","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","Tyrique","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-05-2024 18:40:47","11-05-2024 18:40:47"
"","V0084637","Building One","Building One","In-House","1730801615105","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","Tyrique","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-05-2024 16:07:58","11-05-2024 16:07:58"
"","V0084636","Building One","Building One","In-House","test12333","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","34","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-05-2024 15:36:10","11-05-2024 15:36:10"
"","V0084635","Building One","Building One","In-House","SerialTest123qq","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-05-2024 12:57:46","11-05-2024 12:57:46"
"","V0084634","Building One","Building One","In-House","test12333","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","34","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-05-2024 12:27:14","11-05-2024 12:27:14"
"","V0084633","Building One","Building One","In-House","test12333","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","34","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-05-2024 12:17:29","11-05-2024 12:17:29"
"","V0084632","Building One","Building One","In-House","test12333","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","34","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-04-2024 21:11:37","11-04-2024 21:11:37"
"","V0084631","Building One","Building One","In-House","test12333","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","34","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","11-04-2024 21:09:55","11-04-2024 21:09:55"
"","V0084629","Mauldin High School","Southside High School","In-House","11180306BD3E","HP Elite DragonFly Chromebook - Intel/16GB/128GB - Touch/2in1","","Valerie Rodriguez","Valentina Davis","Intake","Intake","","","11-02-2024 18:32:44","11-04-2024 16:06:12"
"","V0084623","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 19:23:11","10-28-2024 19:23:11"
"","V0084622","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 19:19:57","10-28-2024 19:19:57"
"","V0084621","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 19:13:26","10-28-2024 19:13:26"
"","V0084619","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 19:07:53","10-28-2024 19:07:53"
"","V0084618","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 19:04:41","10-28-2024 19:04:41"
