"Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Student Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Created Date","Last Modified Date"
"V0084645","123 TestMalejawjqnejqe","Aspen Grove Middle School","Student","Yolanda","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","Mandy","","","Pending_Repair_Box","Intake","","","11-07-2024 02:54:51","11-07-2024 02:54:51"
"V0084641","123 TestMalejawjqnejqe","123 TestMalejawjqnejqe","Student","Cecil","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","Breana","","","Pending_Repair_Box","Intake","","demo_repairtech@vivacitytech.com","11-07-2024 00:16:36","11-07-2024 00:16:36"
"V0084640","Mauldin High School","Aspen Grove Middle School","Student","1244Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","132","","","Pending_Repair_Box","Intake","","Corey Molloy","11-06-2024 21:14:53","11-06-2024 21:16:13"
"V0084628","Mauldin High School","Southside High School","Student","coreymanualadd1","Lenovo Legion Tower 5 Desktop - Intel/16GB/1TB","","TesterSRT","Valentina Davis","Intake","Intake","","demo_repairfacilitator@vivacitytech.com","11-02-2024 18:06:34","11-02-2024 18:06:34"
"V0084627","Building One","Building One","Student","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Test Student","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 19:43:36","10-28-2024 19:43:36"
"V0084599","Building One","Building One","Student","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Test Student","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 17:05:39","10-28-2024 17:05:39"
"V0084598","Building One","Building One","Student","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Test Student","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-28-2024 15:57:05","10-28-2024 15:57:05"
"V0082804","123 TestMalejawjqnejqe","Adams Elementary","Student","SerialTest123","Lenovo 14e Chromebook Gen2 - AMD/8GB/64GB - Touch","6767","Jasmine","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-11-2024 18:30:00","10-11-2024 18:30:00"
"V0081951","123 TestMalejawjqnejqe","123 TestMalejawjqnejqe","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Maleja","Demo Test","Intake","Intake","","","10-08-2024 23:29:40","10-08-2024 23:29:40"
"V0076883","Test Maleja","Greenville Senior High School","Student","VIVATEST70Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Matthew Ellison","Admin Backup","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","09-17-2024 02:36:34","09-17-2024 02:36:34"
"V0076459","Test Maleja","Test Maleja","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Hansel Poque","Vivienne Garcia","Intake","Intake","","Maleja Duque","09-14-2024 00:38:34","09-14-2024 00:38:34"
"V0076456","Test Maleja","Test Maleja","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","mduque+madhuri@vivacitytech.com","Frida Kahlo","Intake","Intake","","Maleja Duque","09-14-2024 00:35:44","09-14-2024 00:35:44"
"V0076220","Mauldin High School","Mauldin High School","Student","VIVATEST61Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Valerie Rodriguez","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminsuper@vivacitytech.com","09-13-2024 02:11:28","09-13-2024 02:14:22"
"V0075745","Carolina High School","Test Maleja","Student","VIVATEST87Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Mason Troop","Valentina Davis","Intake","Intake","","Edit Test","09-11-2024 19:15:22","09-11-2024 19:15:22"
"V0075719","Test Maleja","Mauldin High School","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Test Student","Verity Jones","Intake","Intake","","Maleja Duque","09-11-2024 03:14:33","09-11-2024 03:14:33"
"V0075408","Alma's Elementary School","Mauldin High School","Student","VIVATEST87Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Valerie Rodriguez","","Intake","Intake","","","09-10-2024 00:24:50","09-10-2024 00:24:50"
"V0074845","Test Maleja","Test Maleja","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Madhuri","Admin Backup","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-06-2024 19:28:50","09-06-2024 19:28:50"
"V0074598","Test Maleja","Test Maleja","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","mduque+madhuri@vivacitytech.com","Violet Smith","Intake","Intake","","","09-05-2024 20:17:49","09-05-2024 20:17:49"
"V0073254","Alma's Elementary School","Building Two","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","John Doe","Sohan Saini","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-28-2024 23:16:12","08-28-2024 23:16:12"
