"Details","Label From","Repair Box","Tracking Number From","Shipped From Date","Building","Box Type","Shipping Box Status","Created By","Last Modified Date"
"","","11439","1Z6X34470328434829","16-09-2024 19:17:01","Dream Building","Inbound","Not Shipped","demo_repairtech@vivacitytech.com","16-09-2024 19:17:01"
"","","11438","1Z6X34470300067126","16-09-2024 18:54:28","Dream Building","Inbound","Not Shipped","demo_repairtech@vivacitytech.com","16-09-2024 18:54:28"
"","","11437","1Z6X34470317728890","16-09-2024 17:25:41","Dream Building","Inbound","Not Shipped","demo_repairtech@vivacitytech.com","16-09-2024 17:25:41"
"","","11436","1Z6X34470327187474","13-09-2024 21:31:45","Dream Building","Inbound","Not Shipped","demo_repairtech@vivacitytech.com","13-09-2024 21:31:45"
"","","11435","1Z6X34470325914860","13-09-2024 21:00:58","Dream Building","Inbound","Not Shipped","demo_repairtech@vivacitytech.com","13-09-2024 21:00:58"
"","","11434","1Z6X34470331972456","13-09-2024 20:52:13","Dream Building","Inbound","Not Shipped","demo_repairtech@vivacitytech.com","13-09-2024 20:52:13"
"","","11433","1Z6X34470336796245","13-09-2024 20:48:31","Dream Building","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","13-09-2024 20:48:31"
"","","11432","1Z6X34470339889649","12-09-2024 11:04:40","Dream Building","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","12-09-2024 11:04:40"
"","","11431","1Z6X34470339808968","11-09-2024 21:24:27","Dream Building","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","11-09-2024 21:24:27"
"","","11430","1Z6X34470329087435","05-09-2024 11:42:03","Dream Building","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","05-09-2024 11:42:03"
"","","11429","1Z6X34470318935173","05-09-2024 10:55:41","Dream Building","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","05-09-2024 10:55:41"
"","","11330","1Z6X34470323536620","03-09-2024 20:51:30","Humphrey High","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","03-09-2024 20:51:30"
"","","11050","1Z6X34470326711096","23-08-2024 21:39:23","Dream Building","Inbound","Not Shipped","Afeefa Zaman","04-09-2024 14:30:42"
"","","10828","1Z6X34470318440895","13-08-2024 23:39:18","GVL","Inbound","Not Shipped","Maleja Duque","04-09-2024 14:30:42"
"","","10824","1Z6X34470327238981","13-08-2024 22:06:12","GVL","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","04-09-2024 12:32:14"
"","","10822","1Z6X34470330691565","13-08-2024 21:59:01","GVL","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","04-09-2024 12:40:28"
"","","10796","1Z6X34470317436606","12-08-2024 19:43:46","GVL","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","12-08-2024 19:43:47"
"","","10790","1Z6X34470328206183","09-08-2024 22:51:05","Dream Building","Inbound","Not Shipped","Nick Ellison","09-08-2024 22:51:41"
"","","10707","1Z6X34470329105423","31-07-2024 00:10:58","GVL2","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","09-08-2024 21:40:05"
"","","10687","1Z6X34470331978683","26-07-2024 22:13:56","Alma's Elementary School","Inbound","Not Shipped","Mark Baker","16-09-2024 19:17:17"
"","","10686","1Z6X34470337972856","26-07-2024 21:47:01","Alma's Elementary School","Inbound","Not Shipped","Mark Baker","04-09-2024 11:22:28"
"","","10685","1Z6X34470307010567","26-07-2024 20:55:45","Alma's Elementary School","Inbound","Not Shipped","Mark Baker","26-07-2024 20:55:45"
"","","10652","1Z6X34470335148929","23-07-2024 19:43:42","GVL","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","23-07-2024 19:43:43"
"","","10587","1Z6X34470331639405","15-07-2024 20:32:12","GVL","Inbound","Not Shipped","Maleja Duque","15-07-2024 20:32:12"
"","","10585","1Z6X34470310663463","15-07-2024 20:27:01","GVL","Inbound","Not Shipped","Maleja Duque","15-07-2024 20:27:01"
"","","10584","1Z6X34470301563052","15-07-2024 20:15:57","Little Free Library","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","15-07-2024 20:15:58"
"","","10368","1Z6X34470312350878","22-06-2024 19:30:22","CCDream Test1","Inbound","Not Shipped","demo_adminsuper@vivacitytech.com","22-06-2024 19:30:23"
"","","10346","1Z6X34470326841606","21-06-2024 20:02:01","GVL","Inbound","Not Shipped","Conan Malady","22-06-2024 03:44:39"
"","","10186","1Z6X34470305940048","13-06-2024 23:56:33","GVL","Inbound","Not Shipped","Conan Malady","13-06-2024 23:57:42"
"","","10045","1Z6X34470322553818","06-06-2024 23:50:26","GVL","Inbound","Not Shipped","Conan Malady","06-06-2024 23:51:32"
"","","9941","1Z6X34470313311980","03-06-2024 21:40:24","GVL","Inbound","Not Shipped","Conan Malady","03-06-2024 21:51:45"
"","","9804","1Z6X34470313794334","29-05-2024 00:58:31","Greenville Warehouse","Inbound","Not Shipped","Ana Endres","29-05-2024 00:58:31"
"","","9523","1Z6X34470320455339","22-05-2024 00:08:24","GVL","Inbound","Not Shipped","Conan Malady","22-05-2024 00:10:42"
"","","9193","1Z6X34470339038255","16-05-2024 00:08:59","GVL","Inbound","Not Shipped","Conan Malady","17-05-2024 03:47:05"
"","","9163","1Z6X34470324663973","15-05-2024 21:39:03","GVL","Inbound","Not Shipped","Conan Malady","15-05-2024 21:39:03"
"","","9110","1Z6X34470308830045","14-05-2024 02:09:45","GVL","Inbound","Not Shipped","Conan Malady","14-05-2024 02:34:47"
"","","9035","1Z6X34470339102229","11-05-2024 01:53:23","GVL","Inbound","Not Shipped","Conan Malady","11-05-2024 03:25:45"
"","","8913","1Z6X34470314491767","09-05-2024 01:43:21","GVL","Inbound","Recieved By Vivacity","Jason Emricson","09-05-2024 01:43:22"
"","","8859","1Z6X34470330316194","08-05-2024 20:24:58","GVL","Inbound","Not Shipped","Conan Malady","08-05-2024 20:24:58"
"","","8856","1Z6X34470329943143","08-05-2024 20:00:27","Remote Cloud Campus","Inbound","Not Shipped","Conan Malady","08-05-2024 20:02:27"
"","","8750","1Z6X34470332070277","04-05-2024 01:59:21","Greenville Warehouse","Inbound","Not Shipped","Madhuri Ravilla","04-05-2024 01:59:21"
"","","8731","1Z6X34470313315262","04-05-2024 00:40:23","GVL","Inbound","Not Shipped","Conan Malady","04-05-2024 00:42:02"
"","","8712","1Z6X34470339785788","03-05-2024 20:55:11","GVL","Inbound","Not Shipped","Conan Malady","03-05-2024 20:56:19"
"","","8663","1Z6X34470336805298","02-05-2024 23:40:18","GVL","Inbound","Not Shipped","Conan Malady","02-05-2024 23:41:13"
"","","8648","1Z6X34470311745793","02-05-2024 21:36:16","GVL","Inbound","Not Shipped","fx","02-05-2024 21:36:18"
"","","8643","1Z6X34470304600738","02-05-2024 21:04:30","GVL","Inbound","Not Shipped","Conan Malady","02-05-2024 21:06:13"
"","","8579","1Z6X34470321714600","01-05-2024 21:36:44","GVL","Inbound","Not Shipped","Conan Malady","01-05-2024 21:37:52"
"","","8543","1Z6X34470326621175","01-05-2024 00:14:25","GVL","Inbound","Not Shipped","Conan Malady","01-05-2024 00:15:55"
"","","8528","1Z6X34470326605746","30-04-2024 21:02:55","GVL","Inbound","Not Shipped","Conan Malady","30-04-2024 21:04:57"
"","","8477","1Z6X34470308282307","30-04-2024 01:25:21","GVL","Inbound","Not Shipped","Conan Malady","30-04-2024 01:27:03"
"","","8468","1Z6X34470308458083","30-04-2024 00:29:42","GVL","Inbound","Not Shipped","Conan Malady","30-04-2024 00:31:12"
"","","8462","1Z6X34470312278251","29-04-2024 23:46:54","GVL","Inbound","Not Shipped","Conan Malady","29-04-2024 23:46:54"
