serial_number,asset_tag,device_model,device_sku,building_name,is_verified,organizational_unit,student_external_user_full_name,loaner_status,status
Test123Test,AssetTestEdit,1234Ab6,abcdefg,Proterworth,true,/,Demo Test,Not In Loaner Pool,Active
VIVATEST55Test,AssetTestEdit,3100,G4YY1,Proterworth,true,/,,In Loaner Pool,Active
423312,3121212,CA023NR,4BS38UA,,true,/,KRISHANA,Not In Loaner Pool,Active
VIVATEST68Test,21,3100,G4YY1,GVL,true,/,Md Raja,Checked Out,Active
VIVATEST64Test,24,3100,G4YY1,GVL,true,/,,Not In Loaner Pool,Active
v123,VAL-1235,11AG8EE,2D608UT,,false,,,Not In Loaner Pool,Active
12345620,12345620,Generic Chromebook,VT-Generic,,true,/,Ryker Swenson,Not In Loaner Pool,Active
21212,12121,CA023NR,4BS38UA,,true,/,Shiv,Not In Loaner Pool,Active
121212,12121,CA023NR,4BS38UA,,true,/,KRISHANA,Checked Out,Active
Andreanne,Vito,O/YcLQrj1D,:4ZNi;u$Nl,Proterworth,true,/,Maleja DB test,Checked Out,Active
Yolanda,Mandy,1234Ab6,abcdefg,Proterworth,true,/,Akash,Checked Out,Active
Candelario,Amiya,qQVPHyBgEN,C45rrr|y&C,Proterworth,true,/,Ryker Swenson,Checked Out,Active
P206XP1336Test,mXdwJ\^_Pp,DEMOCBK,DEMO-CBK,Proterworth,true,/,Katie Long,Checked Out,Active
P206XP44Test,")""9!Ojnq:t",DEMOCBK,DEMO-CBK,Proterworth,true,/,Katie Long,Checked Out,Active
P206XP42Test,KFr:C@N+l*,DEMOCBK,DEMO-CBK,Proterworth,true,/,Katie Long,Checked Out,Active
P206XP56Test,;CMtHWVBC),DEMOCBK,DEMO-CBK,Proterworth,true,/,Katie Long,Not In Loaner Pool,Active
P206P101Test,"DP8j_mY\o""",DEMOCBK,DEMO-CBK,Proterworth,true,/,Katie Long,Not In Loaner Pool,Active
Bridget,Jailyn,K$<7ec9P%X,0J%^a^LO8V,Proterworth,true,/,Akash,Checked Out,Active
Mike,Roxane,qQVPHyBgEN,C45rrr|y&C,Proterworth,true,/,Janet Owens,Checked Out,Active
Cecil,Breana,1234Ab6,abcdefg,Proterworth,true,/,Md Raja,Checked Out,Active
VIVATEST27Test,1,Generic Chromebook,VT-Generic,Test to address,true,/,Maleja DB test,Checked Out,Active
12345619,12345619,Generic Chromebook,VT-Generic,,true,/,Md Raja,Checked Out,Active
VIVATEST47Test,,Generic Chromebook,VT-Generic,Test to address,true,/,Maleja DB test,Checked Out,Active
VIVATEST26Test,12345612345612,Generic Chromebook,VT-Generic,,true,/,Maleja DB test,Checked Out,Active
VIVATEST2Test,VivaTEST2Test,Generic Chromebook,VT-Generic,,true,/,Maleja,Checked Out,Active
VIVATEST22Test,123,Generic Chromebook,VT-Generic,,true,/,Lyanna Mormont,Checked Out,Active
213213124Test,26,Generic Chromebook,VT-Generic,,true,/,Md Raja,Checked Out,Active
P206XP41Test,673TY,DEMOCBK,DEMO-CBK,Proterworth,true,/,sohan,Checked Out,Active
Taya,Stanford,O/YcLQrj1D,:4ZNi;u$Nl,Proterworth,true,/,Maleja DB test,Checked Out,Active
A111036545,,CA023NR,4BS38UAR,,true,/,,Not In Loaner Pool,Active
SerialTest1238787,test1,11AG8EE,2D608UT,Test to address,true,/,Sohan Saini,Not In Loaner Pool,Active
VIVATEST76Test,test10231,3100,G4YY1,123 TestMalejawjqnejqe,true,/,demo_practicestudent@vivacitytech.com,Not In Loaner Pool,Active
SerialTest123,6767,14EG2,82M1000JUS,Brookdale ES,true,/,Lyanna Mormont,Checked Out,Active
5CD121SK42,,G8EE,16W64UTR,,true,/,,Not In Loaner Pool,Active
VIVATEST42Test,,3100,G4YY1,,true,/,,Not In Loaner Pool,Active
P206P12Test,3,C14 G1,21CAS0S900-SMB,GVL,true,/,Ryker Swenson,Checked Out,Active
