record_id,ticket_number,repair_type,serial_number,repair_device,asset_tag,repair_status,student_technician,created_by,last_modified_date
69770,V0069770,Student,12345620,VT Chromebook,12345620,Intake,Demo UserVivacity,demo_adminsuper@vivacitytech.com,2024-07-15T17:10:20.000Z
69260,V0069260,Student,VIVATEST138Test,VT Chromebook,"y9E0|4(""4]",Intake,Johnny Appleseed,Maleja Duque,2024-06-28T21:24:40.000Z
68650,V0068650,Student,1CD1000002Test,HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch,673TY,Intake,Ryker Swensen,demo_adminsuper@vivacitytech.com,2024-06-22T14:09:58.000Z
68649,V0068649,Student,P206XP14Test,Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch,673TY,Intake,,demo_adminschooldistrict@vivacitytech.com,2024-06-22T13:43:18.000Z
68202,V0068202,Student,1100907Test,Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch,12365,Waiting on Repair Approval,Faithful,Bria Faithful,2024-06-18T20:27:30.000Z
67715,V0067715,Student,1100901Test,VT Chromebook,12333,Intake,Johnny Smith,demo_adminsuper@vivacitytech.com,2024-06-13T21:56:27.000Z
67367,V0067367,Student,VIVATEST87Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Intake,Afeefa Zaman,,2024-06-11T16:31:38.000Z
65861,V0065861,Student,VIVATEST74Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Waiting on Repair Approval,Demo Test,demo_adminsuper@vivacitytech.com,2024-06-05T23:01:20.367Z
65290,V0065290,Student,VIVATEST51Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Waiting on Repair Approval,Corey Molloy,Maleja Duque,2024-05-28T22:18:25.000Z
56229,V0056229,Student,VIVATEST10Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Waiting on Repair Approval,madhuriravilla,Maleja Duque,2024-04-11T19:55:26.000Z
55523,V0055523,Student,VIVATEST91Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Closed,Carlos Moore,Maleja Duque,2024-04-12T14:48:25.975Z
51248,V0051248,Student,VIVATEST119Test,VT Chromebook,"""0HOpc*q<x",Intake,,,2024-03-13T18:25:51.000Z
51233,V0051233,Student,VIVATEST44Test,VT Chromebook,,Intake,,,2024-03-13T15:11:40.000Z
48870,V0048870,Student,VIVATEST91Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Closed,,Conan Malady,2024-03-11T16:45:11.508Z
40607,V0040607,Student,VIVATEST27Test,VT Chromebook,1,Closed,,Dream,2024-03-11T16:34:18.850Z
39272,V0039272,Student,VIVATEST27Test,VT Chromebook,1,Closed,,fx,2024-03-11T16:33:52.138Z
39244,V0039244,Student,VIVATEST12Test,VT Chromebook,,Closed,,Dream,2024-03-11T16:33:33.035Z
39021,V0039021,Student,VIVATEST2Test,VT Chromebook,VivaTEST2Test,Intake,,Dream,2023-12-13T19:28:54.815Z
37545,V0037525,Student,VIVATEST2Test,VT Chromebook,VivaTEST2Test,Intake,,Abby Erickson,2023-12-04T17:04:27.000Z
