record_id,full_name,email,phone,user_role,organizational_unit,user_status
1062,Demo Testing Edit,mn@gmail.com,8888888888,4,,Inactive
43,Akash Deep Bhattacharyya,abhattacharya@vivacitytech.com,8622042108,2,,Active
571,Joe Paloney,jpalony@vivacitytech.com,81405463,2,,Active
573,Luke,lrose@vivacitytech.com,81405463,2,,Active
23562,Ryker SwensentEST,testtesttesttest@test.com,9090909099,10,,Active
23564,Ryker Swensen,mravilla+19@vivacitytech.net,,1,,Active
23565,Ryker Swensen,swe1800343455@byui.edu,,1,,Active
23567,Afeefa Zaman,test399@gmail.com,,4,,Active
23569,Johnny Smith,johnny.smith@example.com,,1,,Active
23570,Johnny Smith,Johnny.Smith@example.com,,1,,Active
23583,Faithful,bria@gedu.demo.vivacitytech.com,,6,,Active
2019,Jesus Del Barrio Sanchez,jdelbarriosanchez@vivacitytech.com,,7,,Active
2154,Victor Molina,vmolina@vivacitytech.com,,9,,Active
24820,Admin Backup,admin@gedu.demo.vivacitytech.com,9999999999,1,/VT Employees/Admins,
24821,Allen McNorrill,amcnorrill@gedu.demo.vivacitytech.com,9999999999,1,/VT Employees/Admins,
24822,Andy Warhol,andy.warhol@gedu.demo.vivacitytech.com,9999999999,1,/Google Bootcamp Users,
24823,Arun Sebastian,asebastian@gedu.demo.vivacitytech.com,9999999999,1,/VT Employees/Devs,
24824,Ashley Hibbard,ashley.hibbard@gedu.demo.vivacitytech.com,9999999999,1,/Google Bootcamp Users/Scott County | June 2024,
24825,Beth Smith,beth.smith@gedu.demo.vivacitytech.com,9999999999,1,/Google Bootcamp Users/Scott County | June 2024,
24826,Ben Painter,bpainter@gedu.demo.vivacitytech.com,9999999999,1,/,
24827,Crystal Hale,chale@gedu.demo.vivacitytech.com,9999999999,1,/,
24828,Christi Scalf,christi.scalf@gedu.demo.vivacitytech.com,9999999999,1,/Google Bootcamp Users/Scott County | June 2024,
24829,Claude Monet,claude.monet@gedu.demo.vivacitytech.com,9999999999,1,/Google Bootcamp Users,
24831,Corey Molloy,cmolloy@gedu.demo.vivacitytech.com,9999999999,1,/VT Employees/Devs,
24832,Dream Admin,dreamadmin@gedu.demo.vivacitytech.com,9999999999,1,/VT Employees/Devs,
24833,Enroll Device,enroll@gedu.demo.vivacitytech.com,9999999999,1,/Devices,
24834,Frida Kahlo,frida.kahlo@gedu.demo.vivacitytech.com,9999999999,1,/Google Bootcamp Users,
24835,Georgia O'Keefe,georgia.okeefe@gedu.demo.vivacitytech.com,9999999999,1,/Google Bootcamp Users,
24836,Super Duper Test,google.oauth.verification@gedu.demo.vivacitytech.com,9999999999,1,/VT Employees,
