record_id,role_name,role_description,user_id,auth_type,full_name,title,email,phone,cell_number,account,userdomain,profile_image,user_status,user_role,vivacity_news,product_updates,vivacity_weekly,user_notifications,beta_tester,last_modified_date,created_on,last_modified_by,in_house_repair,building
2404,Repair Tech,"Has access to create, update, and delete repair tickets.",,,Demo Testing Edit,Miss,1711559869911@gmail.com,8888888888,2222222222,1,vivacitytech.com,,Inactive,4,false,false,false,false,false,2024-03-27T17:18:17.053Z,2024-03-27T17:18:17.053Z,,false,2372
2403,Facilitator,Student repair coordinator. Has access to student and repair data,,,Demo Student,Mr,1711559734571@gmail.com,1231231231,1231234121,1,vivacitytech.com,,Active,5,,,,,,2024-03-27T17:15:38.170Z,2024-03-27T17:15:38.170Z,,,
2401,Student,Student of a school district. Limited access.,,,Demo Test,Miss,1711530497823@gmail.com,1231231231,1231234121,1,vivacitytech.com,,Active,1,false,false,false,false,false,2024-03-27T09:08:51.789Z,2024-03-27T09:08:51.789Z,,false,
2400,Facilitator,Student repair coordinator. Has access to student and repair data,,,Demo Student,Mr,1711530392193@gmail.com,1231231231,1231234121,1,vivacitytech.com,,Active,5,,,,,,2024-03-27T09:06:34.724Z,2024-03-27T09:06:34.724Z,,,
2345,Practice Student,"In House Student, Student Repair Technician",819,auth0,demo_practicestudent@vivacitytech.com,,demo_practicestudent@vivacitytech.com,,,1,vivacitytech.com,,Active,11,false,false,false,false,false,2024-03-13T15:22:28.939Z,2024-03-13T15:22:28.939Z,,false,
2343,Student,Student of a school district. Limited access.,,,Carlos Moore,Mrs.,Deondre78@yahoo.com,5555555555,,1,vivacitytech.com,,,1,,,,,,2024-03-12T22:13:48.028Z,2024-03-12T22:13:48.028Z,,false,
2342,Student,Student of a school district. Limited access.,,,Trevor Johnson,Mx.,Katlyn.Bradtke@hotmail.com,5555555555,,1,vivacitytech.com,,,1,,,,,,2024-03-12T22:13:48.028Z,2024-03-12T22:13:48.028Z,,false,
2341,Student,Student of a school district. Limited access.,,,Kimberly Myers,Mrs.,Evelyn.Bashirian@gmail.com,5555555555,,1,vivacitytech.com,,,1,,,,,,2024-03-12T22:13:48.028Z,2024-03-12T22:13:48.028Z,,false,
2340,Student,Student of a school district. Limited access.,,,Amanda Green,Ind.,Brandi_Bahringer13@gmail.com,5555555555,,1,vivacitytech.com,,,1,,,,,,2024-03-12T22:13:48.028Z,2024-03-12T22:13:48.028Z,,false,
2339,Student,Student of a school district. Limited access.,,,Rachael Francis,Dr.,Kendrick.Kohler58@hotmail.com,5555555555,,1,vivacitytech.com,,,1,,,,,,2024-03-12T22:13:48.028Z,2024-03-12T22:13:48.028Z,,false,
